"","MMSANAME","BMI_(kg/m2)","%Underweight","%Normal_weight","%Overwieght","%Obese","%Extreme_Obesity","State"
"99","Provo-Orem",26.4927402795578,3.01724137931034,43.5344827586207,33.6206896551724,16.8103448275862,3.01724137931034,"UT"
"100","Rapid City",28.4022497227515,1.22699386503067,32.5153374233129,39.8773006134969,20.8588957055215,5.52147239263804,"SD"
"101","Reno",26.6186235751408,3.25581395348837,39.5348837209302,40,14.8837209302326,2.32558139534884,"NV"
"102","Richmond",28.2318050605486,1.34680134680135,35.016835016835,29.96632996633,28.6195286195286,5.05050505050505,"VA"
"103","Riverside-San Bernardino-Ontario",28.2773154864857,1.36986301369863,32.4200913242009,35.6164383561644,24.6575342465753,5.93607305936073,"CA"
"104","Rochester",27.4718977292961,1.0989010989011,42.3076923076923,29.6703296703297,20.8791208791209,6.04395604395604,"MN"
"105","Rockingham County-Strafford County",27.1919896601597,2.64550264550265,41.7989417989418,32.2751322751323,16.4021164021164,6.87830687830688,"NH"
"106","Sacramento--Roseville--Arden-Arcade",27.2365237260819,1.95121951219512,44.390243902439,27.8048780487805,20.9756097560976,4.8780487804878,"CA"
"107","Salina",28.6077104765956,0,34.7826086956522,30.4347826086957,29.5652173913043,5.21739130434783,"KS"
"108","Salisbury",28.9258951566964,1.43884892086331,24.4604316546763,44.6043165467626,23.021582733813,6.47482014388489,"MD-DE"
"109","Salt Lake City",27.0015925844474,2.53807106598985,42.7664974619289,32.994923857868,16.751269035533,4.9492385786802,"UT"
"110","San Antonio-New Braunfels",27.3219616846842,3.30578512396694,38.0165289256198,30.5785123966942,26.4462809917355,1.65289256198347,"TX"
"111","San Juan-Carolina-Caguas",27.8596499637294,2.92682926829268,35.9349593495935,30.7317073170732,25.0406504065041,5.36585365853659,"PR"
"112","Scottsbluff",28.6405349661912,2.1978021978022,38.4615384615385,28.5714285714286,23.0769230769231,7.69230769230769,"NE"
"113","Seattle-Bellevue-Everett",26.298744065735,3.10945273631841,47.7611940298507,28.8557213930348,16.1691542288557,4.1044776119403,"WA"
"114","Silver Spring-Frederick-Rockville",27.1297376994664,1.92837465564738,40.2203856749311,36.0881542699724,17.6308539944904,4.13223140495868,"MD"
"115","Sioux City",28.7890477312503,1.95121951219512,28.780487804878,40.9756097560976,20.9756097560976,7.31707317073171,"IA-NE-SD"
"116","Sioux Falls",27.5026791706042,0.613496932515337,41.1042944785276,31.9018404907975,21.4723926380368,4.9079754601227,"SD"
"117","South Bend-Mishawaka",29.423935450059,0,22.2222222222222,40.2777777777778,30.5555555555556,6.94444444444444,"IN-MI"
"118","Spartanburg",29.8441965271587,2.35294117647059,31.7647058823529,34.1176470588235,14.1176470588235,17.6470588235294,"SC"
"119","Spokane-Spokane Valley",28.7145631960519,3.88888888888889,32.7777777777778,35,18.3333333333333,10,"WA"
"120","Springfield",26.8786984370532,1.88679245283019,45.2830188679245,30.188679245283,17.9245283018868,4.71698113207547,"MA"
"121","St. Cloud",27.6280203369059,1.50375939849624,37.593984962406,36.8421052631579,18.796992481203,5.26315789473684,"MN"
"122","St. Louis",28.1959005939764,2.21606648199446,34.0720221606648,34.9030470914127,21.3296398891967,7.4792243767313,"MO-IL"
"123","Tallahassee",29.1535182275122,2.51572327044025,32.0754716981132,30.188679245283,25.1572327044025,10.062893081761,"FL"
"124","Tampa-St. Petersburg-Clearwater",27.4936072985889,2.80701754385965,37.8947368421053,35.4385964912281,17.1929824561404,6.66666666666667,"FL"
"125","Toledo",29.8531026426902,1.61290322580645,25,34.6774193548387,30.6451612903226,8.06451612903226,"OH"
"126","Topeka",29.2738449269875,3.38345864661654,28.1954887218045,27.8195488721804,32.7067669172932,7.89473684210526,"KS"
"127","Tulsa",28.9826670480849,1,34,32,21.5,11.5,"OK"
"128","Tuscaloosa",29.046686819234,3,32,26,31,8,"AL"
"129","Virginia Beach-Norfolk-Newport News",28.5480508272316,0.522193211488251,31.5926892950392,32.3759791122715,30.5483028720627,4.96083550913838,"VA-NC"
"130","Warren-Troy-Farmington Hills",27.1617444521523,3.25581395348837,37.2093023255814,35.5813953488372,19.7674418604651,4.18604651162791,"MI"
"131","Washington-Arlington-Alexandria",27.6455432880411,2.10772833723653,38.7002341920375,32.7868852459016,20.2576112412178,6.14754098360656,"DC-VA-MD-WV"
"132","Wichita",28.9148925280387,2.7190332326284,30.9667673716012,34.1389728096677,23.4138972809668,8.76132930513595,"KS"
"133","Wichita Falls",30.124963386761,5.55555555555556,18.5185185185185,25.9259259259259,37.037037037037,12.962962962963,"TX"
"134","Wilmington",27.4072963562199,3.8265306122449,34.1836734693878,36.2244897959184,20.9183673469388,4.8469387755102,"DE-MD-NJ"
"135","Worcester",26.702221643984,2.65486725663717,39.3805309734513,38.0530973451327,15.929203539823,3.98230088495575,"MA-CT"
